tenants,sysbench_wallTime,sysbench_std_wallTime,y_cruncher_wallTime,y_cruncher_std_wallTime,pgbench_transactions,pgbench_std_transactions,iperf_bandwidthUpload,iperf_bandwitdhDownload,iperf_total,iperf_stdUp,iperf_stdDown,iperf_stdTotal
1,7.173863,0.002781,4.441481,0.039923,179145.3333,520.497198,4970,4745,9715,0,321.601893,321.601893
2,7.176439,0.004805,4.497907,0.013084,180675,1164.334396,4970,4882,9852,0,121.203625,121.203625
3,7.56877,0.004481,4.475998,0.050332,172304.2222,185.429822,4970,4843.333333,9813.333333,0,307.224503,307.224503
4,7.568645,0.003691,4.643859,0.035991,174785.5833,215.980395,4968.5,4849,9817.5,4.743416,253.151631,253.567952
5,7.781149,0.00436,4.621565,0.047322,176469.6,219.54402,4497.16,3971.28,8468.44,432.897239,1016.849987,1148.969173
6,7.813378,0.045979,4.653088,0.02397,175958.7222,207.884763,3960.166667,3249.166667,7209.333333,372.127563,963.965824,1179.175203
7,7.780429,0.004352,4.746376,0.047975,173131.9048,257.873714,3494.657143,2942.985714,6437.642857,251.134147,1017.065421,1039.925621
8,7.781238,0.005323,4.750794,0.030629,172668.875,336.118945,3069.2,2629.8125,5699.0125,195.595563,921.195761,1003.291342
9,7.713974,0.003812,4.823457,0.039025,169857.3333,277.936759,2728.333333,2286.611111,5014.944444,347.525549,921.102136,1029.529436
10,7.660844,0.004837,4.856267,0.048141,169498.7333,203.072808,2456.82,2203.73,4660.55,502.040293,795.855729,1051.567838
11,7.723757,0.004812,4.898652,0.036873,167989.303,192.769852,2234.218182,1911.036364,4145.254545,448.370867,952.02732,1173.938202
12,7.710922,0.004291,5.023004,0.149142,167160.5833,353.427462,2047.15,1715.366667,3762.516667,555.806015,651.910106,942.605909
13,7.781747,0.004805,4.914449,0.020263,166557.641,272.847628,1888.2,1703.746154,3591.946154,391.640193,811.547443,978.995917
14,7.781246,0.004101,4.94124,0.023501,166540.881,198.470274,1740.807143,1608.392857,3349.2,434.451705,753.251286,1006.787688
15,7.781413,0.004772,4.965409,0.047055,166395.3333,204.754227,1636.706667,1406.993333,3043.7,504.344708,635.941141,970.525154
16,7.783176,0.007483,5.02915,0.03709,165429.1875,257.009931,1534.24375,1404.89375,2939.1375,446.89907,668.295148,898.786391
17,7.782453,0.006574,5.034163,0.025492,164538.7255,298.433124,1441.811765,1268.852941,2710.664706,479.352572,565.118447,842.147574
18,7.781711,0.004866,5.106743,0.049245,164026.8518,403.542371,1361.216667,1228.677778,2589.894444,567.994423,536.91154,877.738198
19,7.781848,0.004743,5.113475,0.033988,163402.6667,368.943369,1288.889474,1143.931579,2432.821053,472.110497,487.445997,795.309509
20,7.786359,0.014454,5.140298,0.052941,162439.0333,291.915269,1224.97,1136.52,2361.49,594.415321,488.830985,890.269243
21,7.78269,0.005436,5.154605,0.052849,161519.254,227.404746,1165.980952,1013.633333,2179.614286,469.114275,357.502593,675.5629
22,7.781748,0.004916,5.367919,0.077046,158047.4849,290.297782,1110.972727,1027.1,2138.072727,475.98504,336.141372,649.387725
23,7.782378,0.004953,5.345163,0.03425,156919.6087,260.075476,1063.095652,979.313043,2042.408696,425.428561,337.391809,611.063448
24,7.783233,0.005054,5.391486,0.085538,156931.5972,281.690828,1022.6125,977.8125,2000.425,463.597027,310.620342,651.246146
25,7.900745,0.006157,5.393356,0.041848,155796.28,257.32756,977.332,905.852,1883.184,436.703843,280.751109,632.194681
26,7.918459,0.021988,5.392316,0.037859,154971.5641,261.513624,937.857692,886.473077,1824.330769,397.918366,261.949439,558.049527
27,7.908698,0.004434,5.401177,0.041635,154435.1358,293.511088,903.288889,863.659259,1766.948148,416.958773,278.616029,588.793925
28,7.913633,0.005335,5.542225,0.043175,153550.5714,315.133282,870,846.503571,1716.503571,358.561713,227.480726,491.631066
29,8.364954,0.005202,5.564951,0.042571,151442.931,263.287025,839.572414,825.482759,1665.055172,379.185335,225.191509,513.141999
30,8.378277,0.004972,5.576372,0.035557,150830.2444,235.256648,810.386667,802.21,1612.596667,356.458554,223.119208,492.570831
31,8.393308,0.006413,5.594409,0.051021,150026.4194,320.452217,784.570968,778.264516,1562.835484,335.349501,209.210649,454.045757
32,8.404529,0.004946,5.8226,0.043809,149166.1979,232.638375,777.815625,765.296875,1543.1125,368.572925,211.096477,500.453075
33,8.4743,0.005114,5.827006,0.037062,143381.0505,209.870432,769.939394,763.069697,1533.009091,376.223375,261.442239,562.37585
34,8.460657,0.005275,5.844858,0.043986,137823.9706,260.202196,754.726471,752.288235,1507.014706,359.611051,256.922408,542.499519
35,8.448323,0.005644,6.059823,0.048685,137007.2476,229.233019,753.137143,746.831429,1499.968571,378.527943,292.329274,596.843476
36,8.441969,0.013898,6.084407,0.047003,136192.7222,245.38073,740.091667,708.813889,1448.905556,421.997045,258.160442,609.677522
37,8.777972,0.005706,6.097477,0.049197,135242.7928,215.632087,726.740541,705.527027,1432.267568,395.650664,281.361461,609.94281
38,8.776757,0.005904,6.1216,0.060314,132868.5526,248.635999,693.484211,678.157895,1371.642105,368.511171,240.242585,543.063095
39,8.77749,0.005777,6.127319,0.047048,132230.547,245.870492,685.951282,660.523077,1346.474359,344.381181,217.551166,507.340334
40,8.778033,0.006091,6.155321,0.046359,131742.2917,214.673531,656.3625,655.13,1311.4925,368.774493,277.333743,580.890059
41,8.913952,0.006792,6.228078,0.043434,131013.0407,249.937181,650.053659,620.373171,1270.426829,350.786477,211.626449,499.782901
42,8.916402,0.007128,6.261179,0.052979,128862.127,219.43324,631.061905,613.640476,1244.702381,316.13707,203.555973,470.189284
43,8.919226,0.00604,6.353617,0.050796,128039.8837,252.526836,614.713953,617.137209,1231.851163,292.813534,238.366435,476.244513
44,8.927001,0.010027,6.391041,0.060284,127365.5151,273.613625,602.606818,589.618182,1192.225,298.767397,219.97447,467.201361
45,9.051012,0.012686,6.410502,0.055232,126609.7704,236.9088,590.184444,572.668889,1162.853333,270.081582,189.118892,408.386424
46,9.048362,0.009466,6.449917,0.050155,124828.7174,275.580372,571.791304,565.730435,1137.521739,267.908905,189.967796,404.951753
47,9.050629,0.016855,6.495625,0.062639,123718.4965,348.427707,567.453191,550.9,1118.353191,256.142037,180.849512,396.310664
48,9.053729,0.020986,6.519539,0.064182,123217.8333,493.228246,649.322917,614.804167,1264.127083,327.719052,243.571932,526.76876