c3.large,# co-locat,CPU (y-cruncher),CPU + I/O (pgbench),Network (iperf),CPU (sysbench),CPU (y-cruncher no idle)
,1,100.00%,100.00%,100.00%,100.00%,100.00%
,2,99.54%,99.72%,100.03%,99.93%,99.80%
,3,99.11%,97.35%,100.03%,99.95%,97.53%
,4,98.78%,96.57%,100.01%,99.90%,97.64%
,5,98.37%,91.85%,100.00%,99.92%,97.65%
,6,98.03%,89.83%,100.02%,99.89%,97.45%
,7,98.31%,87.96%,100.03%,99.93%,97.28%
,8,98.35%,85.39%,100.01%,99.89%,96.90%
,9,98.30%,84.64%,100.02%,99.88%,97.15%
,10,98.24%,82.13%,99.86%,99.84%,97.31%
,11,98.01%,83.27%,99.73%,99.86%,96.77%
,12,97.87%,85.28%,99.13%,99.87%,96.32%
,13,97.61%,85.20%,98.20%,99.86%,96.14%
,14,97.41%,83.34%,92.49%,99.87%,96.19%
,15,97.15%,81.03%,85.17%,99.85%,95.99%
,16,96.26%,80.77%,80.83%,99.65%,93.99%