instanceID,computationTime,benchmarkTime,wallTime,std_computationTime,std_benchmarkTime,std_wallTime
i-0062d028d4b1b0c17,4.748222222222221,4.948222222222221,5.384864780637953,0.011955937622973974,0.014033689623347386,0.013422097664523888
i-0069a2fb2881e526e,5.230888888888889,5.464666666666667,5.907726605733235,0.015185885259381592,0.044102154142400186,0.03878332183220799
i-0096e0731defa5bcf,5.24888888888889,5.489444444444445,5.9345277150472,0.016011280745496608,0.03625296922705467,0.03867113646832312
i-0098bacd16b57b4dc,4.147555555555555,4.365666666666666,4.802715725368923,0.008412952976082725,0.0360485783353516,0.037832525761432804
i-00a374920f339188c,4.355444444444444,4.592444444444443,5.019340303209093,0.013276964177769725,0.06967444135246262,0.0695244971277766
i-00b268a4ae508cf2f,4.680666666666667,4.873333333333333,5.31541026963128,0.01244989959798874,0.013729530217745875,0.05013876014230842
i-00c650a5bff4bf46c,5.13911111111111,5.378,5.818473895390828,0.013842366528564177,0.03333541660156698,0.03896054235948044
i-0127ff963ce39608f,5.226111111111113,5.47411111111111,5.913182126151191,0.008695464973830475,0.05774176227922981,0.057185324007054755
i-01630b674435938c1,4.179888888888889,4.381333333333333,4.803216007020739,0.007423685817106732,0.011236102527122026,0.012191492316380566
i-018b98b01134abbc5,5.136666666666667,5.345111111111112,5.793914927376641,0.00701783442380897,0.012414149633024403,0.01124839768094577
i-01e6e4abeaa36080f,5.1995555555555555,5.454777777777778,5.903581274880303,0.017500793632797843,0.03539695529907093,0.036640057834047994
i-02290982499d0a8b6,4.643777777777777,4.855555555555556,5.3072799576653376,0.018191878529839785,0.023627902525992082,0.027641692189324215
i-0260e33164c158580,4.6930000000000005,4.9047777777777775,5.3379429711235895,0.008366600265340893,0.011189032328331518,0.010540867179998617
i-0314d213ca75d492b,5.316777777777778,5.527,5.986180941263835,0.016588985636392724,0.017109938632268566,0.01633898926128566
i-031b2f76071a565fc,5.257999999999999,5.493444444444445,5.937421374850803,0.014186260959110969,0.04221703184471607,0.047549050063793515
i-0330f8e04fb45f4ac,4.639777777777777,4.8437777777777775,5.291021532482571,0.009457507306074413,0.009653726971716589,0.010340403162455854
i-03431dab34bcb014e,4.324444444444444,4.565666666666666,5.03201248910692,0.020056863607697588,0.09633664930855754,0.15225616496784208
i-0431f5b0ba4f686c8,4.736444444444444,4.9383333333333335,5.382149616877238,0.011325978005354691,0.010851267207105188,0.011279829582990009
i-047575da5698f4497,5.253666666666666,5.540333333333333,5.98630248175727,0.01894069692487596,0.13936014494826002,0.1441907517854685
i-04a3348d90ef3a6ac,4.77,4.991333333333333,5.440761089324951,0.04429164706804198,0.04970412457734262,0.0477956784332829
i-04b9c2f75a375d7e5,4.126111111111111,4.338222222222223,4.78317313724094,0.011504829903615009,0.025098694078466103,0.02369425508364751
i-0564c4e163025661e,4.6177777777777775,4.853333333333333,5.296027819315593,0.007595685910070387,0.04177918141850082,0.03793415059714876
i-061f3d47b6ec6d899,4.291222222222222,4.482777777777778,4.914931217829387,0.017275544693133003,0.016414763002993642,0.011346559529053923
i-06c61b81107579b76,5.211444444444444,5.45188888888889,5.916556967629327,0.022254837177067263,0.03479024448191082,0.03718697719035104
i-06f3ded19b65d040f,5.286888888888888,5.514777777777778,5.959156619177924,0.016995914541768836,0.04831350167856222,0.04920565453879716
i-0734e46ea93248b96,4.181555555555556,4.4239999999999995,4.879172192679511,0.009709674442419937,0.06302975487815232,0.12039428786796137
i-07371e52fb12110ae,5.181111111111111,5.405222222222222,5.899825970331828,0.02249135636441524,0.05243514512656997,0.11333228277974502
i-07aba7fdbc894c5fb,4.762444444444444,4.9637777777777785,5.413067658742269,0.014824903971957985,0.015754188155676422,0.05395518629289894
i-0859c1efd18620040,4.331222222222221,4.550111111111111,4.988759517669678,0.01070954921761135,0.04818309984954406,0.06070736565528041
i-08f094191c88c5263,4.157333333333333,4.391333333333334,4.818572044372559,0.008544003745317408,0.042711239738504346,0.043151165638071864
i-0935701764f9af451,4.342777777777778,4.548,4.994460423787435,0.01013382674237349,0.011079259903079949,0.011973116707442728
i-097c3e46dcf390d8a,4.373222222222221,4.609777777777777,5.046851184633043,0.011454014337533997,0.0548128127762519,0.08815398037316599
i-09ed11454ccbcef8f,4.761222222222221,4.958222222222222,5.399400154749553,0.015401118285515597,0.013809215924318245,0.013417910685039114
i-0a6946be11150d3cf,5.254888888888889,5.468555555555556,5.921174393759833,0.011591424032926779,0.010690078473883386,0.03828955228039657
i-0ab36265851b2f038,5.3069999999999995,5.561444444444445,6.0167496469285755,0.015206906325745126,0.03099238257665572,0.03083535148969385
i-0b218a39a18187a2a,4.644222222222222,4.8580000000000005,5.297041363186306,0.014771406312347177,0.052263754170553324,0.05405354170737927
i-0b65af7aa537d3168,4.757777777777778,4.962888888888889,5.402845117780897,0.01253772086323699,0.014785503410811378,0.013463233947547745
i-0b9926ad5c9938919,5.274222222222222,5.495777777777778,5.9364061620500355,0.01070954921761151,0.013516450881960188,0.012305424256311747
i-0b9ff58588e16d551,5.189666666666667,5.42311111111111,5.8789534833696155,0.01779044687465713,0.06788675210312496,0.07499261722200656
i-0c1b44f5929053a0c,4.645666666666667,4.839666666666667,5.262868165969849,0.014404860290887838,0.015132745950421569,0.016178244710855858
i-0ca55bbf96a4d4a74,4.283777777777777,4.48288888888889,4.941177527109782,0.008135996831639191,0.009453100608325004,0.04606147502634364
i-0dacc3a1a65a223ac,5.271444444444445,5.50188888888889,5.95297892888387,0.023076563387510067,0.05511906304638266,0.05593723872711726
i-0e2bba3028e57b933,4.764444444444445,4.990444444444445,5.4606009059482155,0.009166666666666776,0.06458930079957349,0.1154345083487188
i-0e8f378870dcbd5d3,5.310888888888889,5.548666666666667,5.984725528293186,0.009803627446568798,0.01312440474840664,0.013212279988628572
i-0e9ad9f08cc1486c9,4.756888888888889,4.9605555555555565,5.4059962961408825,0.012363701351582008,0.013445362686731988,0.014118517894252763
i-0ece06eab633a3526,5.181000000000001,5.4173333333333344,5.863772418763903,0.00812403840463645,0.0442040722106011,0.04462170985567026
i-0f0e24c09425eac71,4.669444444444444,4.872444444444444,5.319559335708618,0.012350213673365215,0.012146101340667848,0.013115537292710899
i-0f83d46715e5b7ba9,4.344888888888889,4.5664444444444445,5.00583463244968,0.016676663668465846,0.01617954813268198,0.016741757433022753
i-0fe52617ed49f921d,5.295222222222222,5.520444444444444,5.978933784696791,0.019259918079899494,0.030336080461684137,0.03049398334119275
i-0ff32a7bce1e3a734,4.61988888888889,4.828444444444445,5.257181300057305,0.008894442709417525,0.04026819809449843,0.04064627384645406
